"AUTOR,C,45","PERIODO,C,10","OBRA1,C,45","OBRA2,C,45","SUBOBRA,C,45","SUBOBRA2,C,45","DURACION,N,6,2","INSTRUM,C,45","INTERPTE,C,45","DIRECTOR,C,15","ORQUESTA,C,30","CORO,C,45","DISCNUM,C,11","FABRICNUM,C,20","CINTANUM,C,3","COMENT,C,40","NUMERO,N,6,0"
"BACH, Johann Christian",1735-1782,Sinfonien Op. 6 Nr.1-6,,Nr.1 G-Dur,,"7,55",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336, 65,,106
"BACH, Johann Christian",1735-1782,Sinfonien Op. 6 Nr.1-6,,Nr.2 D-Dur,,"8,01",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,107
"BACH, Johann Christian",1735-1782,Sinfonien Op. 6 Nr.1-6,,Nr.3 Es-Dur,,"6,52",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,108
"BACH, Johann Christian",1735-1782,Sinfonien Op. 6 Nr.1-6,,Nr.4 B-Dur,,"6,03",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,109
"BACH, Johann Christian",1735-1782,Sinfonien Op. 6 Nr.1-6,,Nr.5 Es-Dur,,"7,46",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,110
"BACH, Johann Christian",1735-1782,Sinfonien Op. 6 Nr.1-6,,Nr.6 g-moll,,"9,06",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,111
"BACH, Johann Christian",1735-1782,Sinfonien Op. 8 Nr.1-6,,Nr.2 G-Dur,,"6,36",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,112
"BACH, Johann Christian",1735-1782,Sinfonien Op. 8 Nr.1-6,,Nr.3 D-Dur,,"4,49",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,113
"BACH, Johann Christian",1735-1782,Sinfonien Op. 8 Nr.1-6,,Nr.4 F-Dur,,"9,09",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,114
"BACH, Johann Christian",1735-1782,Sinfonien Op. 9 Nr.1-3,,Nr.1 B-Dur,,"9,11",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,115
"BACH, Johann Christian",1735-1782,Sinfonien Op. 9 Nr.1-3,,Nr.2 Es-Dur,,"11,59",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,116
"BACH, Johann Christian",1735-1782,Sinfonien Op. 9 Nr.1-3,,Nr.3 B-Dur,,"5,19",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,117
"BACH, Johann Christian",1735-1782,Sinfonien Op.18 Nr.1-6,(Edition Forster) Ouverturen,Nr.1 Es-Dur,,"11,13",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336,,,118
"BACH, Johann Christian",1735-1782,Sinfonien Op.18 Nr.1-6,(Edition Forster) Ouverturen,Nr.2 B-Dur,,"8,31",,,Zinman,Niederl.Kamorch.,, 1889 (5LP),Ph 6768 336, 92,,119
