"AUTOR,C,45","PERIODO,C,10","OBRA1,C,45","OBRA2,C,45","SUBOBRA,C,45","SUBOBRA2,C,45","DURACION,N,6,2","INSTRUM,C,45","INTERPTE,C,45","DIRECTOR,C,15","ORQUESTA,C,30","CORO,C,45","DISCNUM,C,11","FABRICNUM,C,20","CINTANUM,C,3","COMENT,C,40","NUMERO,N,6,0"
"FETIS, Francois-Joseph",1784-1871,Sinfonien,,Nr.1 Es-Dur,,"34,31",,,Priestman,S.O.d.RTBF,,Q 342,Schw 311097,,,7842
"FETIS, Francois-Joseph",1784-1871,Sinfonische Fantasie f.Orgel u.Orchester,,,,"17,00",Orgel,Froidebise,Priestman,S.O.d.RTBF,,Q 342,Schw 311097,,,7843
"MAHAUT, Antoine (Mahault)",1719-1785,Sinfonien Op.2,,Nr.4 c-moll,,"15,22",,,Schoonbroodt,Camerata Leodiensis,,Q 343,Schw 311100,,,7844
"MAHAUT, Antoine (Mahault)",1719-1785,Sinfonien Op.2,,Nr.6 A-Dur m.obl.Viola,,"14,50",,,Schoonbroodt,Camerata Leodiensis,,Q 343,Schw 311100,,,7845
"MAHAUT, Antoine (Mahault)",1719-1785,Sinfonien f.Streichorchester,,Nr.1 F-Dur,,"8,16",,,Schoonbroodt,Camerata Leodiensis,,Q 343,Schw 311100,,,7846
"MAHAUT, Antoine (Mahault)",1719-1785,Sinfonien f.Streichorchester,,Nr.5 D-Dur,,"8,49",,,Schoonbroodt,Camerata Leodiensis,,Q 343,Schw 311100,,,7847
"MAHAUT, Antoine (Mahault)",1719-1785,"Konzerte f.Flote,Streicher u.B.c.",,d-moll,,"7,02",Flote,Giaux,Schoonbroodt,Camerata Leodiensis,,Q 343,Schw 311100,,,7848
"MAHAUT, Antoine (Mahault)",1719-1785,"Konzerte f.Flote,Streicher u.B.c.",,e-moll,,"8,40",Flote,Giaux,Schoonbroodt,Camerata Leodiensis,,Q 343,Schw 311100,,,7849
"MYSLIVECEK, Josef",1737-1781,Konzert f.Flote u.Orchester D-Dur,,,,"16,39",Flote,Meier,,Prager Kamorch.,,Q 344,Schw 311104,,,7850
"WITT, Friedrich",1770-1837,Konzert f.Flote u.Orchester G-Dur,,,,"23,30",Flote,Meier,,Prager Kamorch.,,Q 344,Schw 311104,,,7851
"VANHAL, Johann Baptist",1739-1813,Konzerte f.Flote u.Orchester,,Es-Dur,"Allegro assai,Adagio,Rondo Allegretto","19,22",Flote,Meier,,Prager Kamorch.,,Q 344,Schw 311104,,,7852
"SAINT-SAENS, Camille",1835-1921,Konzerte f.Klavier u.Orchester Nr.1-5,,Nr.4 Op. 44 c-moll,,"24,16",Klavier,Casadesus,Muti,Orch.RAI Milano,,Q 345,FSM Str 13610,,,7853
"BRITTEN, Benjamin",1913-1976,Peter Grimes Op.33,,Four Sea Interludes Op.33a,,"16,14",,,Muti,Orch.RAI Milano,,Q 345,FSM Str 13610,,,7854
"BELLINI, Vincenzo",1801-1835,Sinfonien,,Es-Dur,,"8,49",,,Muti,Orch.RAI Milano,,Q 345,FSM Str 13610,,,7855
"RODRIGO, Joaquin",1902-,Concierto de Aranjuez (f.Gitarre u.Orch.),,,,"22,29",Gitarre,Yepes,Muti,Orch.RAI Milano,,Q 345,FSM Str 13610,,,7856
"DANZI, Franz",1763-1826,"Konzert f.Klarinette,Fagott u.Kammerorchester",Op.47 B-Dur,,,"14,28","Klarinette,Fagott","Brunner,Thunemann",Stadlmair,Munchen.Kamorch.,,Q 346,Tud 500 718,,,7857
"DANZI, Franz",1763-1826,Variationen v.Mozart (Don Giovanni):Reich mir,die Hand (f.Klarinette u.Orch.),,,"9,22",Klarinette,Brunner,Stadlmair,Munchen.Kamorch.,,Q 346,Tud 500 718,,,7858
"STAMITZ, Carl",1745-1801,Konzerte f.Klarinette u.Orchester,(Numerierung v.Helmut Boese),Nr. 3 B-Dur,"Allegro moderato,Romanze,Rondo","13,41",Klarinette,Brunner,Stadlmair,Munchen.Kamorch.,,Q 346,Tud 500 718,,,7859
"STAMITZ, Carl",1745-1801,Konzerte f.Klarinette u.Orchester,(Numerierung v.Helmut Boese),"B-Dur f.Klarinette,Fagott u.Orch.","Allegro moderato,Andante moderato,Rondo","18,47","Klarinette,Fagott","Brunner,Thunemann",Stadlmair,Munchen.Kamorch.,,Q 346,Tud 500 718,,,7860
"GIAMPIERI, Alamiro",1893-1963,Il Carnevali di Venezia (Capriccio variato,f.Klarinette u.Orch.),,,"6,33",Klarinette,Brunner,Stadlmair,Munchen.Kamorch.,,Q 347,Tud 500 728,,,7861
"CIMAROSA, Domenico",1749-1801,Konzert f.Klarinette u.Streicher c-moll,,,,"10,30",Klarinette,Brunner,Stadlmair,Munchen.Kamorch.,,Q 347,Tud 500 728,,,7862
"DONIZETTI, Gaetano",1797-1848,Concertini f.Soloinstrument u.Kammerorchester,,B-Dur f.Klarinette u.Orchester,,"7,41",Klarinette,Brunner,Stadlmair,Munchen.Kamorch.,,Q 347,Tud 500 728,,,7863
"ROSSINI, Gioacchino",1792-1868,Variationen Op.109 C-Dur f.Klarinette u.Orch.,,,,"7,44",Klarinette,Brunner,Stadlmair,Munchen.Kamorch.,,Q 347,Tud 500 728,,,7864
"MERCADANTE, Saverio",1795-1870,Konzert f.Klarinette u.Orchester  Op.101,B-Dur,,,"14,39",Klarinette,Brunner,Stadlmair,Munchen.Kamorch.,,Q 347,Tud 500 728,,,7865
"POTTER, Cipriani",1792-1871,Sinfonien,,Nr. 8 Es-Dur,,"34,52",,,Cummings,Kamorch.Milton Keynes,,Q 348,Uni CD 9091,,,7866
"POTTER, Cipriani",1792-1871,Sinfonien,,Nr.10 g-moll,,"28,06",,,Cummings,Kamorch.Milton Keynes,,Q 348,Uni CD 9091,,,7867
"STAMITZ, Carl",1745-1801,Quartette Op. 4 f.Kammerorchester,(Orchester-Quartette),Nr.1 C-Dur,,"16,29",,,Kohlhausen,Kamorch.Fonte di Musica,,Q 349,FSM Ars 368307,,,7868
"STAMITZ, Anton",1754-1809,Konzerte f.Violine u.Orchester,,Nr.8 G-Dur,,"16,33",Violine,Kohlhausen,Kohlhausen,Kamorch.Fonte di Musica,,Q 349,FSM Ars 368307,,,7869
"STAMITZ, Johann Wenzel Anton",1717-1757,Sinfonien (Mannheimer),,"Nr. 1 G-Dur Allegro,Larghetto,Presto",,"7,57",,,Kohlhausen,Kamorch.Fonte di Musica,,Q 349,FSM Ars 368307,,,7870
"BIZET, George",1838-1875,Carmen,,Suite Nr.1,,"18,50",,,Batiz,Philh.Orch.Mexico,,Q 350,TIS ASV CD 596,,,7871
"BIZET, George",1838-1875,Carmen,,Suite Nr.2,,"22,13",,,Batiz,Philh.Orch.Mexico,,Q 350,TIS ASV CD 596,,,7872
"BIZET, George",1838-1875,Die Perlenfischer (Les Pecheurs de Perles),,Prelude,,"3,32",,,Batiz,Philh.Orch.Mexico,,Q 350,TIS ASV CD 596,,,7873
"BIZET, George",1838-1875,Patrie Op.19 (Dramatische Ouverture),,,,"13,57",,,Batiz,Philh.Orch.Mexico,,Q 350,TIS ASV CD 596,,,7874
"NOVAK, Vitezslav",1870-1949,Slovakische Suite Op.32,,,,"29,14",,,Vajnar,Tschech.Philh.Orch.,, 2296,Supra 11 10 3406,118,100,7875
"NOVAK, Vitezslav",1870-1949,Jihoceska Suite,,,,"30,30",,,Vajnar,Tschech.Philh.Orch.,, 2296,Supra 11 10 3406,,,7876
"WEBER, Carl Maria von",1786-1826,Konzerte f.Klarinette u.Orchester Nr.1-2,,Nr.2 Op.74 Es-Dur,,"22,15",Klarinette,Johnson,Schwarz,English Chamb.Orch.,,Q 351,TIS ASV CD  659,113,,7877
"SPOHR, Ludwig",1784-1859,Konzerte f.Klarinette u.Orchester Nr.1-4,,Nr.1 Op.26 c-moll,,"21,45",Klarinette,Johnson,Schwarz,English Chamb.Orch.,,Q 351,TIS ASV CD  659,,,7878
"CRUSELL, Bernhard Henrik",1775-1838,Konzerte f.Klarinette u.Orchester,,Nr.3 Op.11 B-Dur,,"25,15",Klarinette,Johnson,Schwarz,English Chamb.Orch.,,Q 351,TIS ASV CD  659,120,,7879
"HARGRAVE, Henry", 18.-Jh.,Konzerte f.Fagott u.Orchester,,Nr.4 B-Dur,,"6,23",Fagott,Smith,Ledger,English Chamb.Orch.,,Q 352,TIS ASV CD  681,,,7880
"VIVALDI, Antonio",1678-1741,"Konzerte f.Fagott,Streicher u.B.c. F 8",(37 Concerti per Fagotto),Nr.26 C-Dur  PV  52,,"8,30",Fagott,Smith,Ledger,English Chamb.Orch.,,Q 352,TIS ASV CD  681,,,7881
"HERTEL, Johann Wilhelm",1727-1789,"Konzert f.Fagott,Streicher u.B.c. a-moll",,,,"16,52",Fagott,Smith,Ledger,English Chamb.Orch.,,Q 352,TIS ASV CD  681,,,7882
"GRAUPNER, Johann Christoph",1683-1760,"Konzerte f.Fagott,Streicher u.B.c.",,G-Dur,,"8,43",Fagott,Smith,Ledger,English Chamb.Orch.,,Q 352,TIS ASV CD  681,,,7883
"BACH, Johann Christian",1735-1782,Konzerte f.Fagott u.Orchester,,      B-Dur,,"22,26",Fagott,Smith,Ledger,English Chamb.Orch.,,Q 352,TIS ASV CD  681,,,7884
"MARTUCCI, Giuseppe",1856-1909,Sinfonien,,Nr.2 Op.81 F-Dur,,"43,23",,,Avalos,London Philh.Orch.,,Q 353,TIS ASV CD  689,,,7885
"MARTUCCI, Giuseppe",1856-1909,Andante Op.69 (f.V'cello u.Orchester),,,,"11,28",V'cello,Ives,Avalos,London Philh.Orch.,,Q 353,TIS ASV CD  689,,,7886
"MARTUCCI, Giuseppe",1856-1909,Colore Orientale Op.44,,,,"10,24",,,Avalos,London Philh.Orch.,,Q 353,TIS ASV CD  689,,,7887
"BOCCHERINI, Luigi",1743-1805,Konzerte f.Violoncello u.Orchester Nr.1-12,G 474-483,Nr. 3 G-476 D-Dur  (Marburg),,"17,15",V'cello,Berger,Czarnecki,SWD Kamorch.Pforzh.,,Q 354,EBS 6 056,,,7888
"BOCCHERINI, Luigi",1743-1805,Konzerte f.Violoncello u.Orchester Nr.1-12,G 474-483,Nr. 6 G-479 D-Dur  (Paris Nr.2),,"17,08",V'cello,Berger,Czarnecki,SWD Kamorch.Pforzh.,,Q 354,EBS 6 056,,,7889
"BOCCHERINI, Luigi",1743-1805,Konzerte f.Violoncello u.Orchester Nr.1-12,G 474-483,Nr. 9 G-482 B-Dur  (Bearb.Grutzmacher),,"20,17",V'cello,Berger,Czarnecki,SWD Kamorch.Pforzh.,,Q 354,EBS 6 056,,,7890
"BOCCHERINI, Luigi",1743-1805,Konzerte f.Violoncello u.Orchester Nr.1-12,G 474-483,Nr. 4 G-477 C-Dur m.2 Hornern (Paris Nr.1),,"17,02",V'cello,Berger,Czarnecki,SWD Kamorch.Pforzh.,,Q 354,EBS 6 056,,,7891
"MARTUCCI, Giuseppe",1856-1909,Konzerte f.Klavier u.Orchester,,Nr.2 Op.66 b-moll,,"40,45",Klavier,Caramiello,Avalos,London Philh.Orch.,,Q 355,TIS ASV CD  691,,,7892
"MARTUCCI, Giuseppe",1856-1909,Canzonetta Op.55.1,,,,"2,56",,,Avalos,London Philh.Orch.,,Q 355,TIS ASV CD  691,,,7893
"MARTUCCI, Giuseppe",1856-1909,Gavotta Op.55.2,,,,"4,15",,,Avalos,London Philh.Orch.,,Q 355,TIS ASV CD  691,,,7894
"MARTUCCI, Giuseppe",1856-1909,Giga Op.61.3,,,,"3,14",,,Avalos,London Philh.Orch.,,Q 355,TIS ASV CD  691,,,7895
"MARTUCCI, Giuseppe",1856-1909,Serenata Op.57.1,,,,"3,51",,,Avalos,London Philh.Orch.,,Q 355,TIS ASV CD  691,,,7896
"MARTUCCI, Giuseppe",1856-1909,Minuetto Op.57.2,,,,"5,45",,,Avalos,London Philh.Orch.,,Q 355,TIS ASV CD  691,,,7897
"MARTUCCI, Giuseppe",1856-1909,Momento Musicale Op.57.3,,,,"4,15",,,Avalos,London Philh.Orch.,,Q 355,TIS ASV CD  691,,,7898
"LLOYD, George",1913-,Sinfonien,,Nr. 6,,"22,16",,,Lloyd,Albany Symph.Orch.,,Q 356,Con Alb 015-2,,,7899
"LLOYD, George",1913-,Sinfonien,,Nr.10 (November Journey's),,"28,42",,,Lloyd,Albany Symph.Orch.,,Q 356,Con Alb 015-2,,,7900
"LLOYD, George",1913-,John Socman (Ouverture),,,,"5,27",,,Lloyd,Albany Symph.Orch.,,Q 356,Con Alb 015-2,,,7901
"HARTY, Hamilton (Sir)",1879-1941,Irish Symphony (1904),,,,"33,32",,,Thomson,Ulster Orch.,,Q 359,Hek Ch 8314,,,7902
"HARTY, Hamilton (Sir)",1879-1941,A Comedy Overture (1906),,,,"14,12",,,Thomson,Ulster Orch.,,Q 359,Hek Ch 8314,,,7903
"HARTY, Hamilton (Sir)",1879-1941,Konzert f.Klavier u.Orchester (1922),,,,"37,35",Klavier,Binns,Thomson,Ulster Orch.,,Q 360,Hek Ch 8321,,,7904
"HARTY, Hamilton (Sir)",1879-1941,In Ireland (1935),"(Fantasie f.Flote,Harfe u.Orchester)",,,"9,04","Flote,Harfe","Flemming,Kelly",Thomson,Ulster Orch.,,Q 360,Hek Ch 8321,,,7905
"HARTY, Hamilton (Sir)",1879-1941,With The Wild Geese (Tone Poem)(1910),,,,"19,50",,,Thomson,Ulster Orch.,,Q 360,Hek Ch 8321,,,7906
"MOERAN, Ernest John",1894-1950,Konzert f.Violoncello u.Orchester (1945),,,,"28,36",V'cello,Wallfisch,Del Mar,Bournemouth Sinfonietta,,Q 361,Hek Ch 8456,,,7907
"MOERAN, Ernest John",1894-1950,Sinfonietta (1944),,,,"23,34",,,Del Mar,Bournemouth Sinfonietta,,Q 361,Hek Ch 8456,,,7908
"KROMMER, Franz Vincenz (Kramar)",1759-1831,Quartette,,Op.17 F-Dur f.Flote u.Streichtrio,,"21,30","Flote,Streichtrio",Graf,,Carmina-Trio,,Q 366,Cla 50 8708,,,7909
"KROMMER, Franz Vincenz (Kramar)",1759-1831,Quartette,,Op.92 G-Dur f.Flote u.Streichtrio,,"24,51","Flote,Streichtrio",Graf,,Carmina-Trio,,Q 366,Cla 50 8708,,,7910
"KROMMER, Franz Vincenz (Kramar)",1759-1831,Quartette,,Op.93 D-Dur f.Flote u.Streichtrio,,"21,06","Flote,Streichtrio",Graf,,Carmina-Trio,,Q 366,Cla 50 8708,,,7911
"RAFF, Joseph Joachim",1822-1882,Sinfonien,,Nr.10 Op.213 f-moll (zur Herbstzeit),,"35,17",,,Travis,RSO Basel,,Q 367,Schw  6 095,,,7912
"RAFF, Joseph Joachim",1822-1882,Sinfonien,,Nr.11 Op.214 a-moll (der Winter),,"34,32",,,Venzago,RSO Basel,,Q 368,Schw  6 098,,,7913
"RAFF, Joseph Joachim",1822-1882,Ein feste Burg ist unser Gott Op.127,(Ouverture z.e.Drama a.d.30 jahrigen Krieg),,,"18,37",,,Steinberg,RSO Basel,,Q 367,Schw  6 095,,,7914
"TENREIRO-VIDAL, Alfonso",1965-,Guri (1988),,,,"14,46",,,Riazuelo,Orch.Sinf.Municipal Caracas,,Q 369,Kronos 2297,,,7915
"CASTELLANOS-YUMAR, Gonzalo",    -,Antelacion e Imitacion Fugaz,,,,"17,12",,,Riazuelo,Orch.Sinf.Municipal Caracas,,Q 369,Kronos 2297,,,7916
"CASTELLANOS, Evencio",    -,Santa Cruz De Pacairigua (1955),,,,"17,26",,,Riazuelo,Orch.Sinf.Municipal Caracas,,Q 369,Kronos 2297,,,7917
"FIGUEREDO, Carlos",1909-,Nocturno (1947),,,,"9,32",,,Riazuelo,Orch.Sinf.Municipal Caracas,,Q 369,Kronos 2297,,,7918
"ROTT, Hans",1858-1884,Sinfonie E-Dur (1878),,,,"58,42",,,Samuel,Cincinnati Symph.Orch.,,Q 370,TIS Hy 66366,,,7919
"HAYDN, Joseph",1732-1809,Konzerte f.Orgel u.Streicher H 18,(f.Tasteninstrumente),Nr.  2 D-Dur,,"23,35",Orgel,Haselbock,,Divertimento Salzburg,,Q 371,Orf A 158 871,113,,7920
"HAYDN, Joseph",1732-1809,Konzerte f.Orgel u.Streicher H 18,(f.Tasteninstrumente),Nr.  7 F-Dur,,"12,25",Orgel,Haselbock,,Divertimento Salzburg,,Q 371,Orf A 158 871,,,7921
"HAYDN, Joseph",1732-1809,Konzerte f.Orgel u.Streicher H 18,(f.Tasteninstrumente),Nr.  8 C-Dur (alte Nr.2),,"13,03",Orgel,Haselbock,,Divertimento Salzburg,,Q 371,Orf A 158 871,,,7922
"BEETHOVEN, Ludwig van",1770-1827,Sinfonien Nr.1-9,,Nr.10 Es-Dur (1.Satz),,"0,00",,,Morris,London Symph.Orch.,,Q 372,MCAD 6269,,,0
"MYSLIVECEK, Josef",1737-1781,Sinfonien Nr.1-6 (1762)  Vol.1,,"Nr.1 B-Dur Allegro assai,Andante,Presto",,"10,23",,,,Prager Kamorch.,,Q 373,Supra  1 11 0304-2,,,7924
"MYSLIVECEK, Josef",1737-1781,Sinfonien Nr.1-6 (1764)  Vol.2,(Sinfonien a 4),"Nr.2 G-Dur Allegro,Andante,Presto",,"9,37",,,,Prager Kamorch.,,Q 373,Supra  1 11 0304-2,,,7925
"MYSLIVECEK, Josef",1737-1781,Sinfonien Nr.1-6 (1764)  Vol.2,(Sinfonien a 4),"Nr.4 F-Dur Allegro,Andante,Presto",,"11,40",,,,Prager Kamorch.,,Q 373,Supra  1 11 0304-2,,,7926
"MYSLIVECEK, Josef",1737-1781,Sinfonien Nr.1-6 (1778)  Vol.3,,"Nr.2 F-Dur Allegro assai,Andante,Tempo di",Menuetto,"11,38",,,,Prager Kamorch.,,Q 373,Supra  1 11 0304-2,,,7927
"MYSLIVECEK, Josef",1737-1781,Sinfonien Nr.1-6 (1778)  Vol.3,,"Nr.3 B-Dur Vivace,Larghetto(violin solo),",Prestissimo,"10,26",,,,Prager Kamorch.,,Q 373,Supra  1 11 0304-2,,,7928
"MYSLIVECEK, Josef",1737-1781,Sinfonien Nr.1-6 (1778)  Vol.3,,"Nr.5 G-Dur Allegro,Andante(oboe solo),",Prestissimo,"11,06",,,,Prager Kamorch.,,Q 373,Supra  1 11 0304-2,,,7929
"COPLAND, Aaron",1900-,Fanfare For The Common Man (1942),(aus 4.Satz Sinf.Nr.3),,,"2,00",,,Bernstein,N.Y.Philharm.,,Q 358,CBS MK 42265,,,7930
"STALDER, Joseph Franz Xaver Dominik",1725-1765,Konzert f.Flote u.Orchester B-Dur,,,,"21,40",Flote,Graf,Faerber,Wurtt.Kamorch.Heilbr.,,Q 362,Cla 50  808,,,7931
"SCHUMANN, Robert",1810-1856,Sinfonien Nr.1-4,,Nr.4 Op.120 d-moll,,"26,06",,,Szell,Cleveland Orch.,,Q 357,CBS MYK 38468,,,7932
"BOMTEMPO, Joao Domingos",1775-1842,Sinfonien,,Nr.2 D-Dur,,"36,14",,,Scimone,Bamberger Symph.,,,RCA 11C 05140619 A+E,113,,7933
"COPLAND, Aaron",1900-,Appalachian Spring (Ballett),,,,"24,36",,,Bernstein,N.Y.Philharm.,,Q 358,CBS MK 42265,,,7934
"COPLAND, Aaron",1900-,Rodea (1942) Ballett (Four Dance Episodes),,,,"18,19",,,Bernstein,N.Y.Philharm.,,Q 358,CBS MK 42265,,,7935
"COPLAND, Aaron",1900-,Billy The Kid (Ballett Suite),,,,"20,17",,,Bernstein,N.Y.Philharm.,,Q 358,CBS MK 42265,,,7936
"STAMITZ, Carl",1745-1801,Partiten f.Blaser,,Nr.1 in B-Dur,,"13,22",,,Klocker,Consortium Classicum,,Q 374,CPO 999 081-2,,,7937
"STAMITZ, Carl",1745-1801,Partiten f.Blaser,,     in Es-Dur,,"9,20",,,Klocker,Consortium Classicum,,Q 374,CPO 999 081-2,,,7938
"STAMITZ, Carl",1745-1801,Oktette f.Blaser,,Nr.1 in B-Dur,,"10,17",,,Klocker,Consortium Classicum,,Q 374,CPO 999 081-2,,,7939
"STAMITZ, Carl",1745-1801,Oktette f.Blaser,,"Nr.2 in Es-Dur (Allegro ma non tanto,","Allegreto,Menuetto,Rondeau.Allegretto)","11,29",,,Klocker,Consortium Classicum,,Q 374,CPO 999 081-2,,,7940
"STAMITZ, Carl",1745-1801,Oktette f.Blaser,,"Nr.2 in B-Dur (Allegro con spirito,","Andantino,Rondo.Presto)","12,58",,,Klocker,Consortium Classicum,,Q 374,CPO 999 081-2,,,7941
"STRAUSS, Richard",1864-1949,Sinfonien,,Op.53 Sinfonia Domestica,,"43,43",,,Reiner,Chicago Symph.Orch.,,Q 375,RCA  GD 60388,,,7942
"STRAUSS, Richard",1864-1949,Tod und Verklarung Op.24 (Sinf.Dichtung),,,,"22,38",,,Reiner,Chicago Symph.Orch.,,Q 375,RCA  GD 60388,,,7943
"ALKAN, Charles Valentin",1813-1888,Etuden Op.39 Nr.1-12,,Nr. 4-7 Sinfonie,,"34,18",Klavier,Ringeissen,,,,Q 376,Nik Mar 8223 285,,,7944
"ALKAN, Charles Valentin",1813-1888,Etuden Op.39 Nr.1-12,,Nr.11 Ouverture,,"14,57",Klavier,Ringeissen,,,,Q 376,Nik Mar 8223 285,,,7945
"ALKAN, Charles Valentin",1813-1888,Etuden Op.39 Nr.1-12,,Nr. 1 Commes le vent (Prestissimamente),,"5,30",Klavier,Ringeissen,,,,Q 376,Nik Mar 8223 285,,,7946
"ALKAN, Charles Valentin",1813-1888,Etuden Op.39 Nr.1-12,,Nr. 2 En rythme molossique (Risoluto),,"7,37",Klavier,Ringeissen,,,,Q 376,Nik Mar 8223 285,,,7947
"MARSH, John",1752-1828,Sinfonien,,Nr.1 B-Dur,,"10,13",,,Graham-Jones,The Chichester Concert,,Q 377,OCD 400,,,7948
"MARSH, John",1752-1828,Sinfonien,,Nr.3 D-Dur,,"9,14",,,Graham-Jones,The Chichester Concert,,Q 377,OCD 400,,,7949
"MARSH, John",1752-1828,Sinfonien,,Nr.4 F-Dur,,"11,21",,,Graham-Jones,The Chichester Concert,,Q 377,OCD 400,,,7950
"MARSH, John",1752-1828,Sinfonien,,Nr.6 D-Dur,,"20,11",,,Graham-Jones,The Chichester Concert,,Q 377,OCD 400,,,7951
"MARSH, John",1752-1828,Conversation Symphony for two Orchestras,,,,"13,27",,,Graham-Jones,The Chichester Concert,,Q 377,OCD 400,,,7952
"BENNET, William Sterndale",1816-1875,Konzerte f.Klavier u.Orchester,,Nr.4 f-moll,,"28,53",Klavier,Binns,Wetton,Milton Keynes Chamb.Orch.,,Q 378,TIS Uni CD 2032,,,7953
"BENNET, William Sterndale",1816-1875,Sinfonie in g-moll,,,,"21,49",,,Wetton,Milton Keynes Chamb.Orch.,,Q 378,TIS Uni CD 2032,,,7954
"BENNET, William Sterndale",1816-1875,Fantasia in A Op.16,,,,"21,16",Klavier,Binns,,,,Q 378,TIS Uni CD 2032,,,7955
"ARENSKY, Anton",1861-1906,Sinfonien,,Nr.1 b-moll Op.4,,"35,33",,,Swetlanow,Sinf.Orch.d.USSR,,Q 379,Ar MFCD 878,,,7956
"ARENSKY, Anton",1861-1906,Sinfonien,,Nr.2 A-Dur  Op.22,,"21,28",,,Swetlanow,Sinf.Orch.d.USSR,,Q 379,Ar MFCD 878,,,7957
"FIORILLO, Federigo",1755-1822,Konzerte f.Violine u.Orchester,,Nr.1 F-Dur,,"23,52",Violine,Oprean,Faerber,Europa Kamorch.,,Q 380,TIS Hy CD 66210,,,7958
"VIOTTI, Giovanni Battista",1753-1824,Konzerte f.Violine u.Orchester,,Nr.13 A-Dur,,"22,12",Violine,Oprean,Faerber,Europa Kamorch.,,Q 380,TIS Hy CD 66210,,,7959
"MEHUL, Etienne-Nicolas",1763-1817,Sinfonien,,Nr.1 g-moll,,"25,57",,,Swierczewski,Gulbenkian Chamb.Orch.,,Q 381,Ar 881 577939,,,7960
"MEHUL, Etienne-Nicolas",1763-1817,Sinfonien,,Nr.2 D-Dur,,"27,33",,,Swierczewski,Gulbenkian Chamb.Orch.,,Q 381,Ar 881 577939,,,7961
"MEHUL, Etienne-Nicolas",1763-1817,Sinfonien,,Nr.3 C-Dur,,"23,40",,,Swierczewski,Gulbenkian Chamb.Orch.,,Q 382,Ar 881 577939,,,7962
"MEHUL, Etienne-Nicolas",1763-1817,Sinfonien,,Nr.4 E-Dur,,"25,44",,,Swierczewski,Gulbenkian Chamb.Orch.,,Q 382,Ar 881 577939,,,7963
"PARRY, Charles Hubert Hastings",1848-1918,Sinfonien,,Nr.5 b-moll,,"23,07",,,Boult,London Philh.Orch.,,Q 383,EMI CDC 749022-2,,,7964
"PARRY, Charles Hubert Hastings",1848-1918,Blest Pair of Sirens,,,,"10,55",,,Boult,London Philh.Orch.,London Philh.Choir,Q 383,EMI CDC 749022-2,,,7965
"PARRY, Charles Hubert Hastings",1848-1918,Symphonic Variations (1897),,,,"13,18",,,Boult,London Philh.Orch.,,Q 383,EMI CDC 749022-2,,,7966
"PARRY, Charles Hubert Hastings",1848-1918,Elegy for Brahms,,,,"10,22",,,Boult,London Philh.Orch.,,Q 383,EMI CDC 749022-2,,,7967
"RAFF, Joseph Joachim",1822-1882,Aus Thuringen (Suite),,,,"35,11",,,Edlinger,Tschech.Philh.Prag,,Q 384,Nik Mar 8223 194,,,7968
"RAFF, Joseph Joachim",1822-1882,Italienische Suite,,,,"30,57",,,Edlinger,Tschech.Philh.Prag,,Q 384,Nik Mar 8223 194,,,7969
"RAFF, Joseph Joachim",1822-1882,Ode an den Fruhling Op.76 G-Dur,(Konzertstuck f.Klavier u.Orchester),,,"14,40",Klavier,Antonioli,Foster,Kamorch.Lausanne,,Q 385,Cla 50 8806,,,7970
"RAFF, Joseph Joachim",1822-1882,Konzert f.Klavier u.Orchester Op.185 c-moll,,,,"34,37",Klavier,Antonioli,Foster,Kamorch.Lausanne,,Q 385,Cla 50 8806,,,7971
"BUSONI, Ferruccio",1866-1924,Konzertstuck f.Klavier mit Orchester Op.31a,,,,"20,01",Klavier,Antonioli,Foster,Kamorch.Lausanne,,Q 385,Cla 50 8806,,,7972
"DIEPENBROCK, Alphons",1862-1921,Die Vogel (Ouverture),,,,"10,10",,,Vonk,Residentie Orch.Haag,,Q 386,Schw Ch 8821,,,7973
"DIEPENBROCK, Alphons",1862-1921,Marsyas (Sinfonische Suite),,,,"33,34",,,Vonk,Residentie Orch.Haag,,Q 386,Schw Ch 8821,,,7974
"DIEPENBROCK, Alphons",1862-1921,Elektra (Sinfonische Suite),,,,"19,44",,,Vonk,Residentie Orch.Haag,,Q 386,Schw Ch 8821,,,7975
"DIEPENBROCK, Alphons",1862-1921,Hymne f.Violine u.Orchester,,,,"12,32",Violine,Verhey,Vonk,Residentie Orch.Haag,,Q 386,Schw Ch 8821,,,7976
"SPOHR, Ludwig",1784-1859,Sinfonien,,Nr.4 Op.86 F-Dur (Die Weihe d.Tone),,"38,49",,,Walter A.,Budapester Sinf.Orch.,,Q 389,Nik Mar 8223 122,,,7977
"SPOHR, Ludwig",1784-1859,Faust (1816) Romantische Oper,,Ouverture,,"6,37",,,Walter A.,Budapester Sinf.Orch.,,Q 389,Nik Mar 8223 122,,,7978
"SPOHR, Ludwig",1784-1859,Jessonda Op.63 (Oper),,Ouverture,,"7,35",,,Walter A.,Budapester Sinf.Orch.,,Q 389,Nik Mar 8223 122,,,7979
"PIETROWSKI, Karol", um -1790,Sinfonie D-Dur (ca 1790),,,,"17,59",,,Satanowski,Posener Kamorch.,,Q 390,OCD 315,,,7980
"TSCHAIKOWSKY, Peter Iljitsch",1840-1893,Sinfonien,,Nr.2 Op.17 c-moll (Kleinrussische),,"32,57",,,Celibidache,Berliner Philharm.,,Q 391,FSM Nu 2301/2,,,7981
